name;lat;lon;pop;textsize
Phoenixville;40.13038;-75.51491;16440;3
Pittsburgh;40.44062;-79.99589;305704;61
Plum;40.50035;-79.74949;27126;5
Pottstown;40.24537;-75.64963;22377;4
Pottsville;40.68565;-76.1955;14324;2
Radnor;40.04622;-75.35991;30878;6
Reading;40.33565;-75.92687;88082;17
Saint Marys;41.42784;-78.56086;13070;2
Scranton;41.40897;-75.66241;76089;15
Sharon;41.23311;-80.4934;14038;2
Shiloh;41.04172;-78.2914;11217;2
State College;40.7934;-77.86;42034;8
Upper Saint Clair;40.3359;-80.08339;19229;3
Washington;40.17396;-80.24617;13663;2
Wayne;40.044;-75.38769;30892;6
West Mifflin;40.3634;-79.86644;20313;4
West Norriton;40.12955;-75.37852;14702;2
Whitehall;40.36118;-79.99089;13944;2
Whitehall Township;40.66676;-75.49991;24896;4
Wilkes-Barre;41.24591;-75.88131;41498;8
Wilkinsburg;40.44174;-79.88199;15930;3
Williamsport;41.24119;-77.00108;29381;5
Willow Grove;40.144;-75.11573;15726;3
Wyomissing;40.32954;-75.96521;10461;2
Barrington;41.74066;-71.30866;16669;3
Bristol;41.67705;-71.26616;22795;4
Central Falls;41.89066;-71.39228;19376;3
Coventry;41.7001;-71.68284;35525;7
Cranston;41.77982;-71.43728;80387;16
Cumberland;41.96677;-71.43284;34843;6
East Greenwich;41.66038;-71.45589;13682;2
East Providence;41.81371;-71.37005;47037;9
Middletown;41.54566;-71.29144;17303;3
Newport;41.4901;-71.31283;24672;4
North Kingstown;41.5501;-71.46617;28042;5
North Providence;41.8501;-71.46617;33835;6
North Scituate;41.83177;-71.58729;11171;2
North Smithfield;41.96677;-71.54951;11212;2
Pawtucket;41.87871;-71.38256;71148;14
Portsmouth;41.60232;-71.25033;17756;3
Providence;41.82399;-71.41283;178042;35
Smithfield;41.92204;-71.54951;21872;4
Valley Falls;41.90677;-71.39061;11547;2
Warren;41.73038;-71.28255;11280;2
Warwick;41.7001;-71.41617;82672;16
West Warwick;41.69689;-71.52194;30146;6
Westerly;41.3776;-71.82729;17936;3
Woonsocket;42.00288;-71.51478;41186;8
Aberdeen;45.4647;-98.48648;26091;5
Brookings;44.31136;-96.79839;22056;4
Huron;44.36332;-98.21426;12592;2
Mitchell;43.70943;-98.0298;15254;3
Sioux Falls;43.54997;-96.70033;153888;30
Vermillion;42.77944;-96.92921;10571;2
Watertown;44.89941;-97.11507;21482;4
Yankton;42.87111;-97.39728;14454;2
Burlington;44.47588;-73.21207;42417;8
Colchester;44.54394;-73.14791;16986;3
Rutland;43.61062;-72.97261;16495;3
South Burlington;44.46699;-73.17096;17904;3
Allouez;44.47749;-88.01621;13975;2
Appleton;44.26193;-88.41538;72623;14
Ashwaubenon;44.48221;-88.0701;16963;3
Baraboo;43.47109;-89.74429;12048;2
Beaver Dam;43.45777;-88.83733;16214;3
Bellevue;44.44416;-87.9201;14570;2
Beloit;42.50835;-89.03178;36966;7
Brookfield;43.06057;-88.10648;37920;7
Brown Deer;43.16334;-87.96453;11999;2
Burlington;42.67807;-88.2762;10464;2
Caledonia;42.8078;-87.92425;24705;4
Cedarburg;43.29667;-87.98759;11412;2
Chippewa Falls;44.93691;-91.39293;13661;2
Cudahy;42.95974;-87.86147;18267;3
De Pere;44.44888;-88.06038;23800;4
Eau Claire;44.81135;-91.49849;65883;13
Elkhorn;42.67279;-88.54454;10084;2
Fitchburg;42.96083;-89.46984;25260;5
Fond du Lac;43.775;-88.43883;43021;8
Fort Atkinson;42.92889;-88.83705;12368;2
Franklin;42.88863;-88.03842;35451;7
Germantown;43.22862;-88.11037;19749;3
Glendale;43.13529;-87.93564;12872;2
Grafton;43.31973;-87.95342;11459;2
Green Bay;44.51916;-88.01983;104057;20
Greendale;42.94057;-87.99592;14046;2
Greenfield;42.9614;-88.01259;36720;7
Hartford;43.31778;-88.37899;14223;2
Howard;44.5436;-88.08816;17399;3
Hudson;44.97469;-92.75687;12719;2
Janesville;42.68279;-89.01872;63575;12
Kaukauna;44.27804;-88.27205;15462;3
Kenosha;42.58474;-87.82119;99218;19
La Crosse;43.80136;-91.23958;51320;10
Little Chute;44.27999;-88.31844;10449;2
Madison;43.07305;-89.40123;233209;46
Manitowoc;44.08861;-87.65758;33736;6
Marinette;45.09998;-87.63066;10968;2
Marshfield;44.66885;-90.1718;19118;3
Menasha;44.20221;-88.4465;17353;3
Menomonee Falls;43.1789;-88.11731;35626;7
Menomonie;44.87552;-91.91934;16264;3
Mequon;43.2364;-87.98453;23132;4
Middleton;43.09722;-89.50429;17442;3
Milwaukee;43.0389;-87.90647;594833;118
Monroe;42.60112;-89.63845;10827;2
Muskego;42.90585;-88.13898;24135;4
Neenah;44.18582;-88.46261;25501;5
New Berlin;42.9764;-88.10842;39584;7
North La Crosse;43.84635;-91.24819;50470;10
Oak Creek;42.88585;-87.86314;34451;6
Oconomowoc;43.11167;-88.49927;15759;3
Onalaska;43.88441;-91.23514;17736;3
Oshkosh;44.02471;-88.54261;66083;13
Platteville;42.73416;-90.47846;11224;2
Pleasant Prairie;42.55308;-87.93341;19719;3
Plover;44.45636;-89.54401;12123;2
Port Washington;43.38722;-87.87564;11250;2
Portage;43.53915;-89.46262;10324;2
Racine;42.72613;-87.78285;78860;15
Richfield;43.25612;-88.19398;11300;2
River Falls;44.86136;-92.62381;15000;3
Salem;42.55474;-88.11092;11416;2
Sheboygan;43.75083;-87.71453;49288;9
Shorewood;43.08918;-87.88758;13162;2
South Milwaukee;42.91057;-87.86064;21156;4
Stevens Point;44.52358;-89.57456;26717;5
Stoughton;42.91695;-89.21789;12611;2
Suamico;44.63194;-88.03927;11346;2
Sun Prairie;43.1836;-89.21373;29364;5
Superior;46.72077;-92.10408;27244;5
Sussex;43.1339;-88.22204;10518;2
Two Rivers;44.15388;-87.56925;11712;2
Verona;42.99083;-89.53318;10619;2
Watertown;43.19472;-88.72899;23861;4
Waukesha;43.01168;-88.23148;70718;14
Waunakee;43.19194;-89.45567;12097;2
Waupun;43.63332;-88.72955;11340;2
Wausau;44.95914;-89.63012;39106;7
Wauwatosa;43.04946;-88.00759;46396;9
West Allis;43.01668;-88.00703;60411;12
West Bend;43.42528;-88.18343;31078;6
Weston;44.8908;-89.54762;14868;2
Whitefish Bay;43.11334;-87.90009;14110;2
Whitewater;42.83362;-88.73233;14390;2
Wisconsin Rapids;44.38358;-89.81735;18367;3
Weirton;40.41896;-80.58952;19746;3
Weirton Heights;40.4084;-80.53924;19450;3
Wheeling;40.06396;-80.72091;28486;5
Ansonia;41.34621;-73.079;19249;3
Bridgeport;41.16704;-73.20483;144229;28
Bristol;41.67176;-72.94927;60477;12
Branford;41.27954;-72.8151;29438;5
Cheshire;41.49899;-72.90066;29443;5
Fillmore;34.39916;-118.91815;15002;3
Buckeye;33.37032;-112.58378;50876;10
Bullhead City;35.14778;-114.5683;39540;7
Camp Verde;34.56364;-111.85432;10873;2
Casa Grande;32.8795;-111.75735;48571;9
Casas Adobes;32.32341;-110.9951;66795;13
Catalina Foothills;32.29785;-110.9187;50796;10
Chandler;33.30616;-111.84125;236123;47
Chino Valley;34.75752;-112.45378;10817;2
Coolidge;32.97784;-111.51762;11825;2
Cottonwood;34.73919;-112.00988;11265;2
Douglas;31.34455;-109.54534;17378;3
Drexel Heights;32.14119;-111.02843;27749;5
El Mirage;33.61309;-112.3246;31797;6
Eloy;32.7559;-111.55484;16631;3
Flagstaff;35.19807;-111.65127;65870;13
Florence;33.03145;-111.38734;25536;5
Flowing Wells;32.29396;-111.00982;16419;3
Fortuna Foothills;32.65783;-114.41189;26265;5
Fountain Hills;33.61171;-111.71736;22489;4
Gilbert;33.35283;-111.78903;208453;41
Glendale;33.53865;-112.18599;226721;45
Gold Camp;33.29367;-111.30429;10159;2
Goodyear;33.43532;-112.35821;65275;13
Green Valley;31.85425;-110.9937;21391;4
Kingman;35.18944;-114.05301;28068;5
Lake Havasu City;34.4839;-114.32245;52527;10
Marana;32.43674;-111.22538;34961;6
Maricopa;33.05811;-112.04764;43482;8
Mesa;33.42227;-111.82264;439041;87
New River;33.91587;-112.13599;14952;2
Nogales;31.34038;-110.93425;20837;4
Oro Valley;32.39091;-110.96649;41011;8
Paradise Valley;33.53115;-111.94265;12820;2
Payson;34.23087;-111.32514;15301;3
Peoria;33.5806;-112.23738;154065;30
Phoenix;33.44838;-112.07404;1445632;289
Prescott;34.54002;-112.4685;39843;7
Prescott Valley;34.58941;-112.32525;38822;7
Queen Creek;33.24866;-111.6343;26361;5
Rio Rico;31.47148;-110.97648;18962;3
Sahuarita;31.95758;-110.95565;25259;5
San Luis;32.487;-114.78218;25505;5
Scottsdale;33.50921;-111.89903;217385;43
Sedona;34.86974;-111.76099;10031;2
Show Low;34.25421;-110.02983;10660;2
Sierra Vista;31.55454;-110.30369;43888;8
Somerton;32.59644;-114.70968;14287;2
Sun City;33.59754;-112.27182;37499;7
Sun City West;33.66198;-112.34127;24535;4
Sun Lakes;33.21116;-111.87542;13975;2
Surprise;33.63059;-112.33322;117517;23
Tanque Verde;32.25174;-110.73731;16901;3
Tempe;33.41477;-111.90931;161719;32
Tempe Junction;33.41421;-111.94348;158368;31
Tucson;32.22174;-110.92648;520116;104
Tucson Estates;32.18758;-111.09093;12192;2
Vail;32.04786;-110.71203;10208;2
Yuma;32.72532;-114.6244;93064;18
Adelanto;34.58277;-117.40922;31765;6
Agoura;34.14306;-118.73787;20537;4
Agoura Hills;34.13639;-118.77453;20330;4
Alameda;37.76521;-122.24164;73812;14
Alamo;37.8502;-122.03218;14570;2
Albany;37.88687;-122.29775;18539;3
Alhambra;34.09529;-118.12701;83089;16
